name,positive,negative,neutral
Chatpata,0,2,0
Chatpata India,3,0,0
Chatpatlal Sweets & Snacks,36,0,2
Chats Point,1,0,0
Chattar Mattar,14,0,0
Chatter Platter,3,3,0
Chattorey - The Family Restaurant,20,18,2
Checkered Bar - MGM Mark,6,2,0
Checkpost,34,5,1
Cheers Life,1,0,0
Cheesecake Alley,2,6,0
Cheesiano Pizza,19,1,0
Cheesy Juicy Burgers,24,6,0
Chef Baker's,48,29,1
Chef Delicacies,2,11,1
Chef Fast Food,11,7,2
Chef Inn Regency,2,0,0
Chef Master,14,6,0
Chef's Cap Chinese Cuisine Restaurant,8,0,0
Chefactory Gold by Flechazo,10,2,0
Chefie,3,0,0
Chefkraft,1,0,0
Chels Cafe,6,0,0
Chettayees,0,3,6
Chettinad Food House,4,4,2
Chetty's Coffee,30,0,0
Chetty's Corner,3,1,0
Chianti,18,0,2
Chichaba's Taj,12,3,3
Chick Blast,2,2,0
Chicken Corner,6,0,0
Chicken County Grand,9,6,0
Chicken Magic,3,0,0
Chicken Man,6,0,0
Chickpet Donne Biriyani Mane,3,5,0
Chickpet Donne Biryani House,13,1,2
Chikeys,20,6,4
Chikkanna Tiffin Room,7,0,1
Chikpet Donne Biriyani House,1,1,0
Chill,19,1,0
Chill Out,4,0,0
Chill Out Cafe,4,0,0
Chill-Um Cafe,4,1,0
Chillax,0,0,0
Chilld Monk,0,3,3
Chilli Chicken,0,4,0
Chilli Flakes,0,0,1
Chillikum,12,7,1
Chin Chin by The Biere Club,12,0,0
Chin Lung Resto Bar,32,0,4
